,songs,artists
0,Heat Waves,Glass Animals
1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
2,Super Gremlin,Kodak Black
3,abcdefu,GAYLE
4,Stay,The Kid LAROI & Justin Bieber
5,Easy On Me,Adele
6,Ghost,Justin Bieber
7,Bad Habits,Ed Sheeran
8,Shivers,Ed Sheeran
9,Thats What I Want,Lil Nas X
10,Cold Heart (PNAU Remix),Elton John & Dua Lipa
11,Enemy,Imagine Dragons X JID
12,Need To Know,Doja Cat
13,Big Energy,Latto
14,Woman,Doja Cat
15,Levitating,Dua Lipa
16,Save Your Tears,The Weeknd & Ariana Grande
17,Pushin P,Gunna & Future Featuring Young Thug
18,Industry Baby,Lil Nas X & Jack Harlow
19,Surface Pressure,Jessica Darrow
20,One Right Now,Post Malone & The Weeknd
21,I Hate U,SZA
22,Bam Bam,Camila Cabello Featuring Ed Sheeran
23,Hrs And Hrs,Muni Long
24,'Til You Can't,Cody Johnson
25,MAMIII,Becky G X Karol G
26,Light Switch,Charlie Puth
27,Buy Dirt,Jordan Davis Featuring Luke Bryan
28,You Right,Doja Cat & The Weeknd
29,Fancy Like,Walker Hayes
30,Good 4 U,Olivia Rodrigo
31,Love Nwantiti (Ah Ah Ah),CKay
32,Sand In My Boots,Morgan Wallen
33,Ahhh Ha,Lil Durk
34,Fingers Crossed,Lauren Spencer-Smith
35,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
36,Doin' This,Luke Combs
37,Knife Talk,Drake Featuring 21 Savage & Project Pat
38,Essence,Wizkid Featuring Justin Bieber & Tems
39,Beers On Me,"Dierks Bentley, Breland & HARDY"
40,To Be Loved By You,Parker McCollum
41,Boyfriend,Dove Cameron
42,AA,Walker Hayes
43,You Should Probably Leave,Chris Stapleton
44,Never Say Never,Cole Swindell / Lainey Wilson
45,One Mississippi,Kane Brown
46,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
47,Numb Little Bug,Em Beihold
48,She's All I Wanna Be,Tate McRae
49,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
50,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
51,Slow Down Summer,Thomas Rhett
52,I'm Tired,Labrinth & Zendaya
53,Do We Have A Problem?,Nicki Minaj X Lil Baby
54,Nail Tech,Jack Harlow
55,Sacrifice,The Weeknd
56,Peru,Fireboy DML & Ed Sheeran
57,Dos Oruguitas,Sebastian Yatra
58,23,Sam Hunt
59,Handsomer,Russ Featuring Ktlyn
60,Don't Play That,King Von & 21 Savage
61,Broadway Girls,Lil Durk Featuring Morgan Wallen
62,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
63,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
64,Circles Around This Town,Maren Morris
65,Me Or Sum,"Nardo Wick, Lil Baby & Future"
66,Freaky Deaky,Tyga X Doja Cat
67,Heart On Fire,Eric Church
68,Beautiful Lies,Yung Bleu & Kehlani
69,Pressure,Ari Lennox
70,The Motto,Tiesto & Ava Max
71,Publicity Stunt,Gucci Mane
72,War,King Von
73,If I Was A Cowboy,Miranda Lambert
74,P Power,Gunna Featuring Drake
75,High,The Chainsmokers
76,Rocking A Cardigan In Atlanta,Lil Shordie Scott
77,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
78,Rumors,Gucci Mane Featuring Lil Durk
79,Banking On Me,Gunna
80,I Hate YoungBoy,YoungBoy Never Broke Again
81,Ay!,Machine Gun Kelly & Lil Wayne
82,Waiting On A Miracle,Stephanie Beatriz
83,Oh My God,Adele
84,I Love You So,The Walters
85,By Your Side,Rod Wave
86,To The Moon!,JNR CHOI & Sam Tompkins
87,Flower Shops,ERNEST Featuring Morgan Wallen
88,Neighborhood Superstar,DaBaby & YoungBoy Never Broke Again
89,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
90,Give Heaven Some Hell,HARDY
91,Facetime,King Von Featuring G Herbo
92,Straight To It,King Von Featuring Fivio Foreign
93,Cigarettes,Juice WRLD
94,Do It To It,Acraze Featuring Cherish
95,Evil Twins,King Von & Lil Durk
96,Trust Nothing,King Von Featuring Moneybagg Yo
97,Iffy,Chris Brown
98,Closer,Saweetie Featuring H.E.R.
99,When I'm Gone,Alesso / Katy Perry
